ID;Process step;;User Action Required;;Changing process parameter;;End-point detection;;;Precautions/Conditions;;Image
<ID>;Process step;<group>;<y/n>;<Description>;<Name>;<Measurement method>;<y/n>;<Description>;<Estimated Time>;<Short Desc>;<Long Description>;
100;Cleaning;Cleaning;y;In a beaker, carefully pour distilled water on the electrode;;;;;;;;
101;Connect Board;Connection;y;Plug the board into the connector;GPIO;GPIO;y;GPIO;30;Not plugged in;No other sensor board should be plugged in; 
102;Fill in acid;preparation;y;Fill in H2PO4 solution;Filling level;?;y;TRUE/FALSE;30;-;-;
103;Perform CV;Analyse;n;perform CV until CV is stable;CV curve;CV;y;CV;900;-;-; 
104;Rinsing;Cleaning;y;Pour out acid, rinse with water;Conductivity;Impedance analysis;y;Filling level;60;-;-;
199;Switch on PalmSens;Measurement;y;Press Power button on PalmSens;-;-;-;-;-;-;-;power.gif
200;Potassiumhexacyanidoferrate;Measurement; ; ; ; ; ; ; ; ; ; 
201;Power Palmsens;Measurement;y;Connect the PalmSens to a power supply with the given power adapter;-;-;-;-;-;Handle with care;The PalmSens sided connecter should be inserted with care. ;palmsens.gif
202;deoxygeneate solution with Nitrogen;Measurement;;put the tube connected to Nitrogen pump into solution and open valve;;;;;20;;;degasify.gif
203;Connect PalmSens USB;connection;y;Connect the PalmSens to the PC/Laptop with a USB-RS232 Cable.;usb port access;checks idvendor and idproduct of cable rs232;-;-;-;Don't forget adapter;Ensure that the gender changer and the null modem are connected on PalmSens side.;usb_new.gif
204;Start PSTrace Software;Measurement;n;Click on PSTrace to start PSTrace software;New Task is created in Windows;Check Tasks with Python;-;-;-;-;-;pstrace.gif
205;Connect Software to PalmSens;Measurement;y;chooses COM Port;-;-;-;-;-;-;-;connect.gif
206;Load CV method;;;load saved method using pstrace interface;;;;;;;;palmsens.gif
207;Set right values;;;;;;;;;;;palmsens.gif
208;connect Sensor cable to Palmsens;;;;;;;;;;;montage.gif
209;Reference electrode connection;connection;;connect RE cable (blue) to commercial reference electrode using a clamp;;;;;;;;power1.gif
210;Working electrode connection;;;connect WE cable (red) to red connector of breakoutboard;;;;;;;;usb1.gif
211;Counter electrode connection;;;connect CE cable (black) to black connector of breakoutboard;;;;;;;;usb1.gif
212;sensor board connection;;;plug sensor into board;;;;;;;;usb1.gif
213;take the laboratory stand and put upper clamp really high;montage;;;;;;;;;;usb1.gif
214;Mount breaktouboard to upper clamp of laboratory stand;montage;;;;;;;;;;usb1.gif
215;Mount container with potassiumhexacyanidoferrat to lower clamp of laboratory stand;montage;;;;;;;;;;usb1.gif
216;Change height of upper clamp, that sensor dips in solution;montage;;;;;;;;;;usb1.gif
217;Start measurement;;;;;;;;;;;usb1.gif
218;Prepare potassiumhexacyanidoferrat solution;Measurement;;pour  potassiumhexacyanidoferrat in water;;;;;;;;usb1.gif
219;Deoxygeneate solution with stickstoff;;;;;;;;;;;usb1.gif
220;step probe;try;y;probe;probe works;result;n;stdout;30;try to create step ;only give id number and all info will be extracted ;usb1.gif
221;Plot data;Analyse;y;Enter name of data file you would like to plot;;;n;;0;only csv files;csv files need to be converted to UTF8 format before submission ;
222;Create PalmSens method;Measurement;y;Enter wished parameters of the method;;;n;;;;;methood.gif
300;Network-IP-Info;;;;;;;;;;;
301;;networkinfo;y;;info;;y;info;10;;;
400;Hauptmenü;;;;;;;;;;;
401;;mainmenu;y;;mainmenu;;y;mainmenu;10;;;
402;splash;splash;y;;splash;;y;splash;10;;;splash.png
500;Kalibrierlösung erstellen;;;;;;;;;;;
5001;Abfrage ISA vorhanden;;;;;;;;10;;Hinweis: Zur Herstellung ist die ISA Lösung notwendig. Bitte wählen:;
501;Becher auf die Waage stellen;calibration;y;Becher auf die Waage stellen;scale;4g;y;scale;10;Stelle einen Becher auf die Waage;Achte darauf, dass der Becher leer und sauber ist. Stelle ihn in die linke Vertiefung (Waage).;becher_waage.gif
5010;Benötigte Utensilien;;;;;;;;10;Überprüfe, ob folgende Utensilien bereit stehen.;500 ml Spritzflasche mit destilliertem Wasser, 2 M ISA-Lösung, mind. 3 g Kaliumnitrat, 1 Plastikbecher, 1 Rührfisch, 2 verschließbare Becher, 1 Rührstab, 1 Pipette,  1 Messer, 100g Gewicht;kalibrierlösung_utensilien.gif
502;Gewünschte Konzentration einstellen;calibration;n;;;;y;KY010 press;10;Wähle die gewünschte Nitratkonzentration aus;Scrolle mithilfe des Knopfes durch die möglichen Werte und bestätige mit einem Knopfdruck.;
5030;Waage kalibrieren;calibration;y;Waage kalibrieren;scale;calculated;y;scale;30;Kalibriere mit dem 100g Gewicht;Stelle das 100g Gewicht auf die Waage und warte, bis die Kalibrierung abgeschlossen ist. Danach wirst du aufgefordert, das Gewicht wieder zu entfernen.;gewicht_demo.gif
503;Salz abwiegen;calibration;y;Salz abwiegen;scale;calculated;y;scale;40;Wiege das Salz ab;Benutze einen kleinen Löffel und fang mit wenig an. Eine Messerspitz sind ca. 100 -500 mg.;salz_abwiegen.gif
504;Fülle Wasser ein;calibration;y;Wasser einfüllen;scale;calculated;y;scale;30;Fülle Wasser ein;Fülle möglichst exakt die angegebene Menge Wasser in den Becher ein.;gießen_demo.gif
505;Becher beschriften;calibration;y;Becher beschriften;scale; -30g +30g;y;scale;50;Beschrifte den Becher;Der angegebene Wert entspricht der Konzentration, die du tatsächlich hergestellt hast. Stelle den Becher anschließend in die rechte Vertiefung (Magnetrührer).;beschriften.gif
5060;Rührfisch einwerfen;;;;;;;;10;Gib den Rührfischer in den Becher;Stelle sicher, dass der Becher im rechten Slot (Magnetrührer) steht. Der Elektromotor wird mit ihm rühren;rührfisch.gif
506;Rühren;calibration;y;Rühren;scale; -30g +30g;y;scale;1500;Lass den Magnetrührer arbeiten;Warte, bis der Countdown abgelaufen ist.;becher_demo.gif
5061;Rührfisch rausholen;;;;;;;;10;Hole den magnetischen Rührfisch wieder raus.;Benutze ein Messer oder eine Pinzette aus Metall, das magnetisch ist (Eisen).;rührfisch_raus.gif
507;Neuen verschließbaren Becher auf die Waage stellen;;;;;;;;10;Nimm den vorigen Becher beiseite und stelle einen neuen sauberen Becher auf die Waage.;Achte darauf, dass der Becher mittig auf der Waage steht.;becher_waage.gif
508;Stammlösung einfüllen;;;;;;;;10;Fülle die Stammlösung, wie angegeben ein.;Benutze dazu die Pipette. Ein Tropfen wiegt bis zu 0.05g.;pipettieren.gif
509;Fülle Wasser ein;calibration;y;Wasser einfüllen;scale;calculated;y;scale;30;Fülle Wasser ein;Fülle möglichst exakt die angegebene Menge Wasser in den Becher ein.;gießen_demo.gif
510;Becher beschriften;calibration;y;Becher beschriften;scale; -30g +30g;y;scale;50;Beschrifte den Becher;Der angegebene Wert entspricht der Konzentration, die du tatsächlich hergestellt hast. Stelle den Becher anschließend wieder auf die Waage.;beschriften.gif
598;Kalibrierung setzen;;;;;;;;5;;;
599;Reset done;;;;;;;;5;Die Kalibrierdaten wurden durch den gewünschten Wert ersetzt;;
601;Sensor spülen;Measurement;y;Sensor spülen;measure;rauschen;n;;60;Spüle den Sensor;Nimm eine Flasche VE Wasser zur Hand und Spüle den Sensor kräftig ab.;spülen.gif
602;Sensor: Ring öffnen;Measurement;y;Sensor: Ring öffnen;measure;rauschen;n;;60;Öffne den Verschlussring;Schiebe den Verschlussring oben an der Elektrode nach unten.;ringauf.gif
603;Sensor: Ring schließen;Measurement;y;Sensor: Ring schließen;measure;rauschen;n;;60;Schließe den Verschlussring;Schiebe den Verschlussring oben an der Elektrode zurück nach oben.;ringzu.gif
604;Elektrode vorbereiten;;;;;;;;15;Falls sich die Elektrode in der Lagerflüssigkeit befand, muss sie jetzt zwei Stunden in die 4ppm- Kalibrierlösung getaucht werden.;Verwende dazu den grauen Deckel und spüle sie vorher mit destilliertem Wasser ab. Andernfalls kannst du sie sofort verwenden.;
605;Elektrode kurzfristig einlagern;;;;;;;;15;Willst du die Elektrode innerhalb der nächsten drei Tage verwenden, dann lagere sie in die 4ppm- Kalibrierlösung ein;Verwende dazu den grauen Deckel und spüle sie vorher mit destilliertem Wasser ab.;eintauchen.gif
606;Elektrode langfristig einlagern;;;;;;;;15;Willst du die Elektrode nicht innerhalb der nächsten drei Tage verwenden, dann lagere sie in die Lagerflüssigkeit ein;Verwende die zugehörige Lagerflüssigkeit (kleiner Behälter, siehe Bild);einlagern.gif
700;Messe: Messung;;;;;;;;;;;
7001;Abfrage Kalibrierung;;;;;;;;10;;Hinweis: Messung nur mit kürzlich kalibrierter Elektrode aussagekräftig. Bitte wählen:;
701;Benötigte Utensilien;;;;;;;;10;Überprüfe, ob alle benötigten Hilfsmittel bereit stehen.;Du brauchst die Nitratelektrode, 1 Rührfisch, die Testlösung, eine Spritzflasche mit destilliertem Wasser und ein Auffanggefäß.;kalibrieren_utensilien.gif
702;Testflüssigkeit vorbereiten;;;;;;;;10;Stelle die Testflüssigkeit in den linken Slot (Waage).;Stelle sicher, dass der Deckel geöffnet ist.;becher_waage.gif
7020;Testflüssigkeit vorbereiten;;;;;;;;10;Stelle die Testflüssigkeit in den rechten Slot (Magnetrührer).; ;becher_demo.gif
7021;Deckel aufschrauben;;;;;;;;10;Nimm den grauen Deckel und schraube ihn auf;Der graue Deckel hat eine Öffnung zur Halterung der Nitratelektrode;deckel.gif
703;Nitratelektrode vorbereiten;;;;;;;;20;Nimm die Nitratelektrode aus der Lagerflüssigkeit und spüle sie ab.;Benutze destilliertes Wasser und spüle kräftig ca. 10 Sekunden.;abspülen.gif
704;Nitratelektrode eintauchen;;;;;;;;5;Tauche nun die Elektrode in die Testflüssigkeit ein.;Gib auf die Membran Acht, die sich unten an der Elektrode befindet. Sie sollte keinen Kontakt zum Gefäßboden bekommen.;eintauchen.gif
705;Messwertanzeige;;;;;;;;60;Nitratmesswert:;Laufende Messwertanzeige im Graph in mV.;eintauchen.gif
7050;Interpretation Messwert;;;;;;;;10;Aus dem Messwert ergibt sich eine Stickstoffkonzentration von (1 g/m^2 entspricht Nitratkonz. von 10 ppm):;;qr.gif
706;Nitratelektrode einlagern;;;;;;;;10;Lagere die Nitratelektrode wieder ein.;Benutze dafür die Lagerungslösung (Üblicherweise 100 ppm NO3-N).;einlagern.gif
800;Messe:Kalibrierung;;;;;;;;;;;
801;Benötigte Utensilien;;;;;;;;10;Überprüfe, ob alle benötigten Utensilien bereit stehen.;Du brauchst die Nitratelektrode, 1 Rührfisch, die beiden Kalibrierlösungen (100 und 4 ppm NO3-N), eine Spritzflasche mit destilliertem Wasser und ein Auffanggefäß.;kalibrieren_utensilien.gif
8015;Testflüssigkeit vorbereiten;;;;;;;;10;Stelle die Testflüssigkeit mit ca. 100 ppm in den rechten Slot.;Stelle sicher, dass der Deckel geöffnet ist.;becher_demo.gif
802;Nitratelektrode vorbereiten;;;;;;;;20;Nimm die Nitratelektrode aus der Lagerflüssigkeit und spüle sie ab.;Benutze destilliertes Wasser und spüle kräftig ca. 10 Sekunden;abspülen.gif
803;Erster Kalibrierpunkt;;;;;;;;10;Tauche die Elektrode in die Kalibrierlösung mit ca. 100 ppm NO3-N;Führe diesen Schritt aus, bis sich der Messwert stabilisiert hat und drücke dann den Button.;eintauchen.gif
8035;Testflüssigkeit vorbereiten;;;;;;;;10;Stelle die Testflüssigkeit mit ca. 4 ppm in den rechten Slot.;Stelle sicher, dass der Deckel geöffnet ist.;becher_demo.gif
804;Nitratelektrode spülen;;;;;;;;20;Spüle die Nitratelektrode kräftig mit destilliertem Wasser ab.;Halte sie dafür über das Auffanggefäß und spüle ca. 10 Sekunden;abspülen.gif
805;Zweiter Kalibrierpunkt;;;;;;;;10;Tauche die Elektrode in die Kalibrierlösung mit ca. 4 ppm NO3-N;Führe diesen Schritt aus, bis sich der Messwert stabilisiert hat und drücke dann den Button.;eintauchen.gif
806;Nitratelektrode spülen;;;;;;;;20;Spüle die Nitratelektrode kräftig mit destilliertem Wasser ab.;Halte sie dafür über das Auffanggefäß und spüle ca. 10 Sekunden;abspülen.gif
807;Nitratelektrode einlagern;;;;;;;;10;Lagere die Nitratelektrode in die 4ppm- Kalibrierlösung ein.;Benutze dafür den grauen Deckel.;eintauchen.gif
808;Fertig;;;;;;;;10;Kalibrierung abgeschlossen;Den Auffangbehälter kannst du im normalen Abfluss entleeren.;leeren.gif
900;DEMO;;;;;;;;;;;
901;Benötigte Teile;;;;;;;;45;Stelle sicher, dass du folgende Teile bereit hast:;Ein 3V-Netzteil, einen PC Lüfter, Neodym-Magnete, einen Rührfisch, einen Schalter und eine Niedervoltbuchse.;raw/rührer_teile.gif
902;Neodymmagnete aufkleben;;;;;;;;20;Klebe die Neodymmagnete auf das Innere des Lüfters;Überprüfe mit einer anschließenden Testfahrt, ob diese fest genug sitzen.;raw/rührer_aufbau1.gif
903;3D-Druck Ding aufschrauben;;;;;;;;10;Schraube das 3D-Druck Teil auf den Lüfter auf;Die Modellzeichnung findest du auf der Citizensensor Projektseite;raw/rührer_aufbau2.gif
904;Magnetrührer fertif;;;;;;;;5;Stelle nun einen Becher mit Wasser auf den Rührer;Gib den Rührfisch in den Becher dazu und teste, ob alles funktioniert.;raw/rührer_fertig.gif
910;Methode 1: Fingerprobe;;;;;;;;5;Mit dieser Methode kannst du schnell überprüfen, ob der Boden zu feucht oder zu trocken für eine valide Messung ist.;Tipp: Lockere den Boden zuerst mit einer Schaufel auf.;raw/fingerprobe.gif
911;Methode 2: Handprobe;;;;;;;;10;Diese genauere Methode hilft dir, abzuschätzen, wie du die Wasserzugabe vor der Messung korrigieren kannst.;Nimm dazu ein Stück Erde in die Hand und Drücke es zusammen.;raw/trocken_drücken.gif
912;Methode 2: Feuchter Boden;;;;;;;;10;Ist der Boden feucht, fühlt sich das anders an. Der Boden zerbröselt nicht so stark.;Zerreibe den Boden anschließend in der Hand und betrachte anschließend deine Handfläche;raw/feucht_drücken.gif
913;Methode 2: Feuchter Boden;;;;;;;;5;Ist der Boden feucht, ist deine Hand danach vermutlich noch schmutzig.;Versuche den Grad der Verschmutzung zu beurteilen. Das Bild zeigt starke Verschmutzung;raw/hand_dreckig.gif
914;Methode 2: Trockener Boden;;;;;;;;10;Ist der Boden trocken, ist deine Hand nach dem Zerbröseln sauber.;Auf der nächsten Seite siehst du die Bewertungsskala noch einmal als Übersicht.;raw/hand_sauber.gif
915;Übersicht;;;;;;;;10;Übersicht zur Beurteilung der Bodenfeuchte;1: trockener Boden, 2: mitteltrockener Boden, 3: feuchter Boden, 4: nasser Boden;raw/übersicht.gif
920;Bodenprobe verkleinern;;;;;;;;10;Ca. 2 kg der genommenen Erdprobe abwiegen.;Darauf achten, dass keine groben Steine mehr enthalten sind.;raw/bodenprobe.gif
921;Kegel auschütten;;;;;;;;20;Schütte die Bodenprobe zu einem Kegel auf.;Achte auf einen ebenen Untergrund und einen möglichst gleichförmigen Kegel.;raw/kegel.gif
922;Bodenprobe Vierteln;;;;;;;;10;Teile den Erdkegel in vier gleich große Teile;Benutze eine dünne Platte aus Kunststoff oder Holz;raw/vierteln.gif
923;Halbiere den Kegel;;;;;;;;10;Probenmenge halbieren, indem diagonal gegenüberliegende Viertel des Erdkegels entfernt werden.;Die Probe wiegt nun nur noch 1 kg.;raw/halbiert.gif
924;Schritte wiederholen;;;;;;;;10;Wiederhole kegeln, vierteln und halbieren so oft, bis zu 500 g, 250g und schließlich 125g Bodenprobe hergestellt hast.;Fülle die Probenmenge anschließend in einen Plastikbecher.;raw/kleineprobe.gif
9999;EXIT;;;;;;;;;;;
1000;ISA herstellen;;;;;;;;;;;
1001;Benötigte Utensilien;;;;;;;;10;Überprüfe, ob alle benötigten Utensilien bereit stehen.;500 ml Spritzflasche mit destilliertem Wasser, mind. 30 g Ammoniumsulfat ((NH4)2SO4, 1 verschließbarer Becher, 1 Rührfisch, 1 Messer, 100g Gewicht;kalibrierlösung_utensilien.gif
1002;Salz abwiegen;calibration;y;Salz abwiegen;scale;calculated;y;scale;40;Wiege das Ammoniumsulfatsalz ab;Benutze einen kleinen Löffel und fang mit wenig an. Eine Messerspitz sind ca. 100 -500 mg.;salz_abwiegen.gif
1003;Fülle Wasser ein;calibration;y;Wasser einfüllen;scale;calculated;y;scale;30;Fülle Wasser ein;Fülle möglichst exakt die angegebene Menge Wasser in den Becher ein.;gießen_demo.gif
1004;Becher beschriften;calibration;y;Becher beschriften;scale; -30g +30g;y;scale;50;Beschrifte den Becher;Der angegebene Wert entspricht der Konzentration, die du tatsächlich hergestellt hast. Stelle den Becher anschließend wieder auf die Waage.;beschriften.gif
1005;ISA hinzugeben;;;;;;;;10;Pipettiere ISA in den Becher;Pipettiere die angebebene Menge Ionenstärkeanpasser (ISA = Ammoniumsulfatlösung) hinzu.;pipettieren.gif
